City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,-1.849999999999966,77,2,3.07,RU,1745167531
1,sinabang,2.4803,96.3801,26.900000000000034,81,99,3.24,ID,1745167533
2,crane,31.3974,-102.3501,15.850000000000023,35,0,6.68,US,1745167534
3,port-aux-francais,-49.35,70.2167,6.480000000000018,92,95,11.44,TF,1745167535
4,port elizabeth,-33.918,25.5701,19.060000000000002,97,20,7.72,ZA,1745167536
5,vorgashor,67.5833,63.95,-11.349999999999966,94,100,5.3,RU,1745167537
6,blackmans bay,-43.0167,147.3167,14.07000000000005,95,12,0.45,AU,1745167538
7,isafjordur,66.0755,-23.124,1.6000000000000227,69,37,2.82,IS,1745167539
8,buka,40.8108,69.1986,14.600000000000023,41,8,1.74,UZ,1745167540
9,wailua homesteads,22.0669,-159.378,22.439999999999998,96,40,6.17,US,1745167541
10,dakhla,23.6848,-15.958,22.010000000000048,53,51,14.92,EH,1745167543
11,nagqu,31.5,92.0,3.3700000000000045,27,81,2.45,CN,1745167544
12,ancud,-41.8697,-73.8203,10.82000000000005,90,100,8.18,CL,1745167358
13,hermanus,-34.4187,19.2345,17.110000000000014,82,100,6.79,ZA,1745167546
14,atafu village,-8.5421,-172.5159,28.77000000000004,77,91,4.19,TK,1745167547
15,qaqortoq,60.7167,-46.0333,5.2900000000000205,60,86,2.91,GL,1745167548
16,tiksi,71.6872,128.8694,-7.8799999999999955,99,97,1.06,RU,1745167549
17,margaret river,-33.95,115.0667,12.800000000000011,63,0,4.16,AU,1745167550
18,papao,-17.75,-149.55,24.82000000000005,79,100,7.38,PF,1745167552
19,tazovsky,67.4667,78.7,-4.96999999999997,93,100,6.94,RU,1745167553
20,edinburgh of the seven seas,-37.0676,-12.3116,18.32000000000005,93,99,5.92,SH,1745167554
21,east london,-33.0153,27.9116,18.52000000000004,94,40,0.51,ZA,1745167515
22,touros,-5.1989,-35.4608,30.100000000000023,66,37,5.0,BR,1745167378
23,guerrero negro,27.9769,-114.0611,21.83000000000004,34,0,0.68,MX,1745167557
24,las praderas,-3.3348,-79.7984,29.82000000000005,70,91,2.38,EC,1745167558
25,papatowai,-46.5619,169.4708,10.800000000000011,91,90,1.98,NZ,1745167559
